"","para","s(month_of_year)","s(article_year)","s(weekday)"
"worst",0.0021659229876182,0.00179795908818081,0.00193165254685567,0.00168916184158935
"observed",0.0021659229876182,0.000614021117500698,0.00139884251926476,0.001168677241283
"estimate",0.0021659229876182,0.000361706576399941,0.000529359697028624,0.000460760379583052
