"quartile_year","quartile_number","percentage_all"
"Q1",4562138,68.6843889713251
"Q2",1488719,22.4131218444076
"Q3",318091,4.78895771506205
"Q4",28903,0.435143543320743
NA,244325,3.67838792588453
