"article_date_month","n","mean_acc_delay","mean_pub_delay"
2016-01-01,35253,115.663461265708,32.8611182027062
2016-02-01,39077,118.867569158328,30.9112009622028
2016-03-01,42141,118.20028001234,29.640184143708
2016-04-01,39567,119.34354386231,29.7780726362878
2016-05-01,40122,120.389736304272,29.9652808932755
2016-06-01,41240,120.051236663434,28.938870029098
2016-07-01,38642,121.543217224781,29.1702292841985
2016-08-01,40824,123.21345287086,29.2862531844013
2016-09-01,38816,123.852947238252,30.0958882934872
2016-10-01,38159,125.619093791766,30.6733667024817
2016-11-01,39938,124.402048174671,30.1331814312184
2016-12-01,35475,124.372262156448,32.1580549682875
2017-01-01,37776,127.219425031766,32.8590110122829
2017-02-01,39372,127.680407396119,32.9167682617088
2017-03-01,45018,127.288284686126,31.4076369452219
2017-04-01,39060,126.129825908858,31.2191500256016
2017-05-01,42919,125.726997367133,31.5905542999604
2017-06-01,43218,127.435235318617,31.7916146050257
2017-07-01,43485,126.465838794987,30.8115902035185
2017-08-01,43820,128.007759014149,31.2432907348243
2017-09-01,43504,127.495908422214,29.9928972048547
2017-10-01,40569,128.246345731963,30.7389878971629
2017-11-01,44314,129.350047389087,30.12294083134
2017-12-01,41980,128.51615054788,30.432039066222
2018-01-01,39297,129.502964602896,32.5636308115123
2018-02-01,46073,127.376359255963,30.2196948321143
2018-03-01,48329,126.898073620394,29.4653106830268
2018-04-01,43870,126.306519261454,29.3840665602918
2018-05-01,47030,125.585604933021,28.3865617690836
2018-06-01,44933,125.003716644782,28.7425055082011
2018-07-01,45408,123.853880373502,28.4777352008457
2018-08-01,47309,124.901266143863,29.0250692257287
2018-09-01,45512,124.273927755317,29.5824178238706
2018-10-01,50431,125.387420435843,31.0063849616307
2018-11-01,49040,124.900876835237,28.5562805872757
2018-12-01,42481,124.711471010569,28.8029471999247
2019-01-01,49304,125.322671588512,30.8744523770891
2019-02-01,47677,127.161314680034,30.0560437947018
2019-03-01,50836,124.957608781179,28.0653670627115
2019-04-01,48983,122.918686074761,28.5765469652737
2019-05-01,53209,123.036046533481,27.2529835178259
2019-06-01,48904,123.557623098315,28.6012800588909
2019-07-01,52531,124.191068131199,27.0825798100169
2019-08-01,50312,122.268683415487,27.2817021784067
2019-09-01,44054,122.030190221092,28.9624097698279
2019-10-01,49918,123.589206298329,32.1976441363837
2019-11-01,57142,123.737146057191,28.4073186097791
2019-12-01,52208,123.294610021453,28.8622433343549
2020-01-01,55616,123.344055667434,29.7580732163406
2020-02-01,54288,123.340130415561,27.9948791629826
2020-03-01,53918,119.135372231908,26.6240587558886
2020-04-01,57467,114.595559190492,27.1094193189135
2020-05-01,63148,111.766738455691,26.9532051688098
2020-06-01,65455,110.381498739592,28.2048582995951
2020-07-01,69553,111.901672106164,28.2714045404224
2020-08-01,64753,109.847265763748,27.6110450481059
2020-09-01,67897,112.3474969439,27.980985905121
2020-10-01,68485,113.850083959991,27.9413156165584
2020-11-01,66163,114.47420763871,28.1507640221876
2020-12-01,59331,110.960206300248,28.5342232559707
2021-01-01,72354,117.551123642093,31.0643226359289
2021-02-01,67870,116.154103433034,28.7797848828643
2021-03-01,77063,115.376146788991,27.9848305931511
2021-04-01,68273,112.826373529799,27.2272494251022
2021-05-01,72326,114.377194922988,27.6012637225894
2021-06-01,73770,113.014978988749,27.6044598075098
2021-07-01,72643,112.893203749845,25.9400905799595
2021-08-01,69410,113.012836767036,26.3076934159343
2021-09-01,69381,112.202461769072,25.6991395338781
2021-10-01,69852,111.648270629331,25.9606453644849
2021-11-01,69210,110.721138563791,25.9543129605548
2021-12-01,64136,108.853841836098,24.5157321940876
2022-01-01,73008,112.971441485865,28.5973865877712
2022-02-01,67778,113.473501726224,25.6232700876391
2022-03-01,76566,112.082151346551,25.4133166157302
2022-04-01,69652,110.907698271406,24.8890196979268
2022-05-01,72004,110.743805899672,25.3586467418477
2022-06-01,72946,110.653675321471,25.2835385079374
2022-07-01,72010,109.916219969449,24.5252048326621
2022-08-01,76237,109.443787137479,23.647048021302
2022-09-01,77646,107.877546815032,23.1544445303042
2022-10-01,73661,108.812913210518,22.153364738464
2022-11-01,77330,109.961127634812,21.8399198241304
2022-12-01,74914,110.238660330512,21.1795792508743
2023-01-01,73084,108.984456242132,22.2876416178644
2023-02-01,70611,110.539547662546,21.1955077820736
2023-03-01,77855,113.54562969623,21.1824288741892
2023-04-01,66135,115.028925682316,22.3077795418462
2023-05-01,70715,115.510146362158,21.4221735133989
2023-06-01,69726,116.063075466827,21.0324269282621
2023-07-01,67710,114.867006350613,21.166105449712
2023-08-01,67629,115.033506336039,20.8347306628813
2023-09-01,66963,116.770798799337,20.6229410271344
2023-10-01,66695,118.301641802234,21.3691581078042
2023-11-01,69238,120.140659753315,22.0989485542621
2023-12-01,63060,117.364462416746,23.5810656517602
2024-01-01,70805,121.143054869006,25.6763787868088
2024-02-01,70787,122.933095059827,23.482306073149
2024-03-01,70249,122.254395080357,22.562200173668
2024-04-01,69971,121.200654556888,22.9683440282403
2024-05-01,74434,121.573810355483,21.7674584195395
2024-06-01,68568,120.116395403103,21.2524209543811
2024-07-01,75021,121.364684554991,21.517001906133
2024-08-01,72949,120.477443145211,21.0304596361842
2024-09-01,72057,120.964167256478,22.1381822723677
2024-10-01,76366,123.383442893434,22.3892177146898
2024-11-01,75543,123.096157155527,21.6325139324623
2024-12-01,73101,121.258655832342,23.7348189491252
2025-01-01,82953,124.733439417501,24.0107048569672
2025-02-01,74774,125.045684328777,20.8767619760879
2025-03-01,80643,124.139751745347,20.5317014495988
